"Query","UTC DateTime","Response"
"scholastics",04/26/2017 20:25:50,"{""query"":""scholastics"",""intents"":[{""intent"":""None"",""score"":0.5074903},{""intent"":""Interests"",""score"":0.161221564},{""intent"":""Education"",""score"":0.0576611944},{""intent"":""languages"",""score"":0.04033866},{""intent"":""workExperience"",""score"":0.027041113},{""intent"":""Internship"",""score"":0.003386723},{""intent"":""Research"",""score"":6.60971466E-07},{""intent"":""skills"",""score"":1E-15}],""entities"":[]}"
"scholastic",04/26/2017 20:25:50,"{""query"":""scholastic"",""intents"":[{""intent"":""Education"",""score"":0.186599076},{""intent"":""Interests"",""score"":0.15371573},{""intent"":""languages"",""score"":0.07916983},{""intent"":""workExperience"",""score"":0.06909175},{""intent"":""Internship"",""score"":0.0206139982},{""intent"":""None"",""score"":0.0137538621},{""intent"":""Research"",""score"":1.9292449E-05},{""intent"":""skills"",""score"":7.828553E-07}],""entities"":[]}"
"scholastic",04/26/2017 20:26:37,"{""query"":""scholastic"",""intents"":[{""intent"":""None"",""score"":0.251517415},{""intent"":""Education"",""score"":0.125824362},{""intent"":""Interests"",""score"":0.108512275},{""intent"":""skills"",""score"":0.0593393333},{""intent"":""languages"",""score"":0.0421404354},{""intent"":""workExperience"",""score"":0.0152366795},{""intent"":""Internship"",""score"":0.0132830292},{""intent"":""Research"",""score"":1.12302423E-05}],""entities"":[]}"
"hi",04/26/2017 20:39:59,"{""query"":""hi"",""intents"":[{""intent"":""None"",""score"":0.565993547},{""intent"":""Interests"",""score"":0.0852919742},{""intent"":""Education"",""score"":0.0802103058},{""intent"":""skills"",""score"":0.0510370471},{""intent"":""languages"",""score"":0.03428952},{""intent"":""workExperience"",""score"":0.01148574},{""intent"":""Internship"",""score"":0.0086537},{""intent"":""Research"",""score"":5.390907E-07}],""entities"":[]}"
"hi",04/26/2017 20:40:29,"{""query"":""hi"",""intents"":[{""intent"":""None"",""score"":0.565993547},{""intent"":""Interests"",""score"":0.0852919742},{""intent"":""Education"",""score"":0.0802103058},{""intent"":""skills"",""score"":0.0510370471},{""intent"":""languages"",""score"":0.03428952},{""intent"":""workExperience"",""score"":0.01148574},{""intent"":""Internship"",""score"":0.0086537},{""intent"":""Research"",""score"":5.390907E-07}],""entities"":[]}"
"hi",04/26/2017 20:41:50,"{""query"":""hi"",""intents"":[{""intent"":""None"",""score"":0.565993547},{""intent"":""Interests"",""score"":0.0852919742},{""intent"":""Education"",""score"":0.0802103058},{""intent"":""skills"",""score"":0.0510370471},{""intent"":""languages"",""score"":0.03428952},{""intent"":""workExperience"",""score"":0.01148574},{""intent"":""Internship"",""score"":0.0086537},{""intent"":""Research"",""score"":5.390907E-07}],""entities"":[]}"
"lol",04/26/2017 20:42:05,"{""query"":""lol"",""intents"":[{""intent"":""None"",""score"":0.251517415},{""intent"":""Education"",""score"":0.125824362},{""intent"":""Interests"",""score"":0.108512275},{""intent"":""skills"",""score"":0.0593393333},{""intent"":""languages"",""score"":0.0421404354},{""intent"":""workExperience"",""score"":0.0152366795},{""intent"":""Internship"",""score"":0.0132830292},{""intent"":""Research"",""score"":1.12302423E-05}],""entities"":[]}"
"corporate legal f",04/26/2017 20:43:03,"{""query"":"" Corporate Legal F"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"lol",04/26/2017 20:43:03,"{""query"":""lol"",""intents"":[{""intent"":""None"",""score"":0.251517415},{""intent"":""Education"",""score"":0.125824362},{""intent"":""Interests"",""score"":0.108512275},{""intent"":""skills"",""score"":0.0593393333},{""intent"":""languages"",""score"":0.0421404354},{""intent"":""workExperience"",""score"":0.0152366795},{""intent"":""Internship"",""score"":0.0132830292},{""intent"":""Research"",""score"":1.12302423E-05}],""entities"":[]}"
"education-",04/26/2017 20:43:06,"{""query"":""EDUCATION-"",""intents"":[{""intent"":""Education"",""score"":0.3580499},{""intent"":""None"",""score"":0.2206146},{""intent"":""Interests"",""score"":0.0714287},{""intent"":""languages"",""score"":0.039348226},{""intent"":""skills"",""score"":0.0348478071},{""intent"":""workExperience"",""score"":0.0157040861},{""intent"":""Internship"",""score"":0.0102370158},{""intent"":""Research"",""score"":3.54819747E-07}],""entities"":[]}"
"ashutosh .v. shetty",04/26/2017 20:43:06,"{""query"":""ASHUTOSH .V. SHETTY"",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"application-",04/26/2017 20:43:06,"{""query"":""APPLICATION-  "",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"objective-",04/26/2017 20:43:19,"{""query"":""OBJECTIVE-"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"year).",04/26/2017 20:43:19,"{""query"":"" Year)."",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"interests-",04/26/2017 20:43:19,"{""query"":""INTERESTS-"",""intents"":[{""intent"":""Interests"",""score"":0.3140824},{""intent"":""None"",""score"":0.220873773},{""intent"":""Education"",""score"":0.04312066},{""intent"":""languages"",""score"":0.0393716954},{""intent"":""skills"",""score"":0.03486335},{""intent"":""workExperience"",""score"":0.01571691},{""intent"":""Internship"",""score"":0.0102497349},{""intent"":""Research"",""score"":3.57954065E-07}],""entities"":[]}"
"2017 and onwards",04/26/2017 20:43:19,"{""query"":""2017 and onwards"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"previous",04/26/2017 20:43:19,"{""query"":""PREVIOUS "",""intents"":[{""intent"":""workExperience"",""score"":0.399876565},{""intent"":""None"",""score"":0.139652267},{""intent"":""Internship"",""score"":0.139453232},{""intent"":""Education"",""score"":0.08904521},{""intent"":""Interests"",""score"":0.08310976},{""intent"":""skills"",""score"":0.0512887053},{""intent"":""languages"",""score"":0.03138469},{""intent"":""Research"",""score"":1.18837711E-07}],""entities"":[]}"
"internships-",04/26/2017 20:43:19,"{""query"":""INTERNSHIPS-"",""intents"":[{""intent"":""Internship"",""score"":0.7186402},{""intent"":""None"",""score"":0.233909324},{""intent"":""Interests"",""score"":0.07722141},{""intent"":""Education"",""score"":0.0540539958},{""intent"":""languages"",""score"":0.04061811},{""intent"":""skills"",""score"":0.03702304},{""intent"":""workExperience"",""score"":0.00593436044},{""intent"":""Research"",""score"":2.08626057E-06}],""entities"":[]}"
"skills-",04/26/2017 20:43:19,"{""query"":""SKILLS- "",""intents"":[{""intent"":""languages"",""score"":0.2788019},{""intent"":""skills"",""score"":0.163124129},{""intent"":""None"",""score"":0.162342876},{""intent"":""Interests"",""score"":0.06251863},{""intent"":""Education"",""score"":0.0383814722},{""intent"":""workExperience"",""score"":0.0132583873},{""intent"":""Internship"",""score"":0.008472753},{""intent"":""Research"",""score"":2.45848184E-07}],""entities"":[]}"
"rizvi law college (bls .llb 3",04/26/2017 20:43:22,"{""query"":""Rizvi Law College (BLS .LLB 3"",""intents"":[{""intent"":""None"",""score"":0.485933274},{""intent"":""languages"",""score"":0.06294695},{""intent"":""Interests"",""score"":0.0496185},{""intent"":""workExperience"",""score"":0.0416851863},{""intent"":""Internship"",""score"":0.0199505556},{""intent"":""skills"",""score"":0.0131139364},{""intent"":""Education"",""score"":0.00954444148},{""intent"":""Research"",""score"":5.24818859E-07}],""entities"":[]}"
"_____________________________________________________________________________________",04/26/2017 20:43:22,"{""query"":""_____________________________________________________________________________________"",""intents"":[{""intent"":""None"",""score"":0.8169459},{""intent"":""workExperience"",""score"":0.170252234},{""intent"":""languages"",""score"":0.112516038},{""intent"":""Internship"",""score"":0.0364829861},{""intent"":""Interests"",""score"":0.0144461878},{""intent"":""skills"",""score"":0.00128171488},{""intent"":""Education"",""score"":0.00016660252},{""intent"":""Research"",""score"":5.291041E-09}],""entities"":[]}"
"education-",04/26/2017 20:44:05,"{""query"":""EDUCATION-"",""intents"":[{""intent"":""Education"",""score"":0.3580499},{""intent"":""None"",""score"":0.2206146},{""intent"":""Interests"",""score"":0.0714287},{""intent"":""languages"",""score"":0.039348226},{""intent"":""skills"",""score"":0.0348478071},{""intent"":""workExperience"",""score"":0.0157040861},{""intent"":""Internship"",""score"":0.0102370158},{""intent"":""Research"",""score"":3.54819747E-07}],""entities"":[]}"
"ashutosh .v. shetty",04/26/2017 20:44:05,"{""query"":""ASHUTOSH .V. SHETTY"",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"rizvi law college (bls .llb 3",04/26/2017 20:44:05,"{""query"":""Rizvi Law College (BLS .LLB 3"",""intents"":[{""intent"":""None"",""score"":0.485933274},{""intent"":""languages"",""score"":0.06294695},{""intent"":""Interests"",""score"":0.0496185},{""intent"":""workExperience"",""score"":0.0416851863},{""intent"":""Internship"",""score"":0.0199505556},{""intent"":""skills"",""score"":0.0131139364},{""intent"":""Education"",""score"":0.00954444148},{""intent"":""Research"",""score"":5.24818859E-07}],""entities"":[]}"
"corporate legal f",04/26/2017 20:44:05,"{""query"":"" Corporate Legal F"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"skills-",04/26/2017 20:44:05,"{""query"":""SKILLS- "",""intents"":[{""intent"":""languages"",""score"":0.2788019},{""intent"":""skills"",""score"":0.163124129},{""intent"":""None"",""score"":0.162342876},{""intent"":""Interests"",""score"":0.06251863},{""intent"":""Education"",""score"":0.0383814722},{""intent"":""workExperience"",""score"":0.0132583873},{""intent"":""Internship"",""score"":0.008472753},{""intent"":""Research"",""score"":2.45848184E-07}],""entities"":[]}"
"year).",04/26/2017 20:44:05,"{""query"":"" Year)."",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"interests-",04/26/2017 20:44:05,"{""query"":""INTERESTS-"",""intents"":[{""intent"":""Interests"",""score"":0.3140824},{""intent"":""None"",""score"":0.220873773},{""intent"":""Education"",""score"":0.04312066},{""intent"":""languages"",""score"":0.0393716954},{""intent"":""skills"",""score"":0.03486335},{""intent"":""workExperience"",""score"":0.01571691},{""intent"":""Internship"",""score"":0.0102497349},{""intent"":""Research"",""score"":3.57954065E-07}],""entities"":[]}"
"_____________________________________________________________________________________",04/26/2017 20:44:05,"{""query"":""_____________________________________________________________________________________"",""intents"":[{""intent"":""None"",""score"":0.8169459},{""intent"":""workExperience"",""score"":0.170252234},{""intent"":""languages"",""score"":0.112516038},{""intent"":""Internship"",""score"":0.0364829861},{""intent"":""Interests"",""score"":0.0144461878},{""intent"":""skills"",""score"":0.00128171488},{""intent"":""Education"",""score"":0.00016660252},{""intent"":""Research"",""score"":5.291041E-09}],""entities"":[]}"
"2017 and onwards",04/26/2017 20:44:05,"{""query"":""2017 and onwards"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"objective-",04/26/2017 20:44:07,"{""query"":""OBJECTIVE-"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"previous",04/26/2017 20:44:07,"{""query"":""PREVIOUS "",""intents"":[{""intent"":""workExperience"",""score"":0.399876565},{""intent"":""None"",""score"":0.139652267},{""intent"":""Internship"",""score"":0.139453232},{""intent"":""Education"",""score"":0.08904521},{""intent"":""Interests"",""score"":0.08310976},{""intent"":""skills"",""score"":0.0512887053},{""intent"":""languages"",""score"":0.03138469},{""intent"":""Research"",""score"":1.18837711E-07}],""entities"":[]}"
"application-",04/26/2017 20:44:07,"{""query"":""APPLICATION-  "",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"internships-",04/26/2017 20:44:07,"{""query"":""INTERNSHIPS-"",""intents"":[{""intent"":""Internship"",""score"":0.7186402},{""intent"":""None"",""score"":0.233909324},{""intent"":""Interests"",""score"":0.07722141},{""intent"":""Education"",""score"":0.0540539958},{""intent"":""languages"",""score"":0.04061811},{""intent"":""skills"",""score"":0.03702304},{""intent"":""workExperience"",""score"":0.00593436044},{""intent"":""Research"",""score"":2.08626057E-06}],""entities"":[]}"
"ashutosh singh",04/26/2017 20:44:20,"{""query"":""ASHUTOSH SINGH"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"year, b.a. ll.b.",04/26/2017 20:44:20,"{""query"":""Year, B.A. LL.B."",""intents"":[{""intent"":""None"",""score"":0.5204152},{""intent"":""languages"",""score"":0.06636111},{""intent"":""workExperience"",""score"":0.04755611},{""intent"":""Interests"",""score"":0.0445558019},{""intent"":""Internship"",""score"":0.0210584253},{""intent"":""skills"",""score"":0.0106795672},{""intent"":""Education"",""score"":0.006673313},{""intent"":""Research"",""score"":3.48748245E-07}],""entities"":[]}"
"education",04/26/2017 20:44:20,"{""query"":""Education"",""intents"":[{""intent"":""Education"",""score"":0.6149136},{""intent"":""None"",""score"":0.166489631},{""intent"":""Interests"",""score"":0.0852919742},{""intent"":""skills"",""score"":0.0510370471},{""intent"":""languages"",""score"":0.03428952},{""intent"":""workExperience"",""score"":0.01148574},{""intent"":""Internship"",""score"":0.0086537},{""intent"":""Research"",""score"":5.390907E-07}],""entities"":[]}"
"little & co.",04/26/2017 20:44:20,"{""query"":""LITTLE & CO."",""intents"":[{""intent"":""None"",""score"":0.386875838},{""intent"":""Interests"",""score"":0.06775467},{""intent"":""languages"",""score"":0.0538677722},{""intent"":""workExperience"",""score"":0.0282231923},{""intent"":""Education"",""score"":0.02697317},{""intent"":""skills"",""score"":0.0238417126},{""intent"":""Internship"",""score"":0.01702401},{""intent"":""Research"",""score"":1.73746821E-06}],""entities"":[]}"
"nlu delhi",04/26/2017 20:44:20,"{""query"":"" NLU Delhi"",""intents"":[{""intent"":""None"",""score"":0.3861193},{""intent"":""Interests"",""score"":0.09358055},{""intent"":""Education"",""score"":0.0513252579},{""intent"":""languages"",""score"":0.0402138755},{""intent"":""skills"",""score"":0.0347892828},{""intent"":""workExperience"",""score"":0.0144177116},{""intent"":""Internship"",""score"":0.0103072943},{""intent"":""Research"",""score"":1.798301E-06}],""entities"":[]}"
"verus",04/26/2017 20:44:20,"{""query"":""VERUS "",""intents"":[{""intent"":""None"",""score"":0.6070128},{""intent"":""Interests"",""score"":0.138525441},{""intent"":""Education"",""score"":0.0459923},{""intent"":""skills"",""score"":0.03305011},{""intent"":""languages"",""score"":0.0210916176},{""intent"":""workExperience"",""score"":0.00355600449},{""intent"":""Internship"",""score"":0.002675045},{""intent"":""Research"",""score"":1.36729454E-07}],""entities"":[]}"
"phone no.:",04/26/2017 20:44:20,"{""query"":""Phone no.:"",""intents"":[{""intent"":""None"",""score"":0.386875838},{""intent"":""Interests"",""score"":0.06775467},{""intent"":""languages"",""score"":0.0538677722},{""intent"":""workExperience"",""score"":0.0282231923},{""intent"":""Education"",""score"":0.02697317},{""intent"":""skills"",""score"":0.0238417126},{""intent"":""Internship"",""score"":0.01702401},{""intent"":""Research"",""score"":1.73746821E-06}],""entities"":[]}"
"(+91 9971991658)",04/26/2017 20:44:20,"{""query"":"" (+91 9971991658)"",""intents"":[{""intent"":""None"",""score"":0.4599115},{""intent"":""Interests"",""score"":0.06341882},{""intent"":""languages"",""score"":0.05234351},{""intent"":""workExperience"",""score"":0.027082948},{""intent"":""skills"",""score"":0.0185045879},{""intent"":""Education"",""score"":0.0173207335},{""intent"":""Internship"",""score"":0.0149162626},{""intent"":""Research"",""score"":7.240269E-07}],""entities"":[]}"
"advocates",04/26/2017 20:44:23,"{""query"":""ADVOCATES"",""intents"":[{""intent"":""None"",""score"":0.251517415},{""intent"":""Education"",""score"":0.125824362},{""intent"":""Interests"",""score"":0.108512275},{""intent"":""skills"",""score"":0.0593393333},{""intent"":""languages"",""score"":0.0421404354},{""intent"":""workExperience"",""score"":0.0152366795},{""intent"":""Internship"",""score"":0.0132830292},{""intent"":""Research"",""score"":1.12302423E-05}],""entities"":[]}"
"6.1 out of 7",04/26/2017 20:44:36,"{""query"":""6.1 out of 7"",""intents"":[{""intent"":""None"",""score"":0.5255396},{""intent"":""Interests"",""score"":0.0581374653},{""intent"":""languages"",""score"":0.05518368},{""intent"":""workExperience"",""score"":0.0322147943},{""intent"":""Internship"",""score"":0.0163258351},{""intent"":""skills"",""score"":0.01618532},{""intent"":""Education"",""score"":0.0129828779},{""intent"":""Research"",""score"":3.78645325E-07}],""entities"":[]}"
"internships",04/26/2017 20:44:36,"{""query"":""INTERNSHIPS"",""intents"":[{""intent"":""Internship"",""score"":0.794392347},{""intent"":""None"",""score"":0.1819019},{""intent"":""Education"",""score"":0.104026839},{""intent"":""Interests"",""score"":0.09384945},{""intent"":""skills"",""score"":0.0548724532},{""intent"":""languages"",""score"":0.0358544141},{""intent"":""workExperience"",""score"":0.00396742765},{""intent"":""Research"",""score"":4.364193E-06}],""entities"":[]}"
"national law university, delhi",04/26/2017 20:44:36,"{""query"":""National Law University, Delhi"",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"national law university, delhi",04/26/2017 20:44:36,"{""query"":""NATIONAL LAW UNIVERSITY, DELHI"",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"ll. b. (",04/26/2017 20:44:36,"{""query"":""LL. B. ("",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"metropolitan school (icse), gorakhpur",04/26/2017 20:44:36,"{""query"":""METROPOLITAN SCHOOL (ICSE), GORAKHPUR"",""intents"":[{""intent"":""None"",""score"":0.465735465},{""intent"":""languages"",""score"":0.0610200576},{""intent"":""Interests"",""score"":0.0528393127},{""intent"":""workExperience"",""score"":0.0385689251},{""intent"":""Internship"",""score"":0.0193270948},{""intent"":""skills"",""score"":0.0147899538},{""intent"":""Education"",""score"":0.0117687061},{""intent"":""Research"",""score"":6.67099E-07}],""entities"":[]}"
"semester 3",04/26/2017 20:44:36,"{""query"":""Semester 3"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
